shop_id,shop_name,nkreview_source,nkreview_nick,nkreview_reg_date,nkreview_content
3,가벼운 오늘,네이버맵,용용6485,2022-04-07,"굴포천길 산책하다 발견한 #가벼운오늘 늘 제로웨이스트에 관심 많았는데 물건을 직접 보고 살 수 있어서 좋았어요! 생소한 물건들 설명도 잘 되어있고, 무엇보다 다양하고 사장님이 친절하세요?? 함께 포장해온 디저트도 맛있고,  건강한 소비를 한 것 같아 뿌듯한 마음이에요??"
3,가벼운 오늘,네이버맵,쏭4120,2022-01-18,비건 베이커리는 처음인데 거부감 없이 맛있게먹었어요. 비건이라고 말 안하면 일반 베이커리류라고 해도 모를것 같네요.  호지차라떼도 처음 접해보는 메뉴인데  사장님이 친절하게 설명해주셔서 도전해봤습니다. 오묘하게 맛있네요! 또 마시러 한번 더 들러야겠어요. 제로웨이스트 물건들도 사장님이 종류별로 자세히 설명해주시고 추천해주셔서 여러종류를 샀는데 사진을 손수건밖에 안찍어놨네요. 사용해보니 칫솔이 진짜 물건입니다. 부드러워서인지 16개월 아기도 좋아하네요ㅎㅎ  에코백도 파셨으면 좋겠어요~!
3,가벼운 오늘,네이버맵,신짱구50,2021-11-26,디저트가 맛있어서 또 방문했어용ㅎㅎ:)
3,가벼운 오늘,네이버맵,신짱구50,2022-04-24,디저트 맛있어요ㅎㅎ 뷰도 좋고 아기자기해요
3,가벼운 오늘,네이버맵,수달에몽,2022-07-29,세제 리필하러 온 김에 호지차라떼 처음 먹어봤는데 진짜 넘 맛있어요...??녹차라떼보다 깔끔한 녹차맛이랄까요???? 비건디저트들도 달달하니 맛있었어요!??
3,가벼운 오늘,네이버맵,소담3521,2022-10-12,"음료도 디저트도 모두 맛있어요! 라떼는 따뜻하고 포근하면서 위로가 되고, 과일 에이드는 청량하고 상큼하면서 시원해요! 겨울과 여름에 마시기 좋은 친구들 ?? 디저트도 비건 디저트여서 마음 놓고 편하게 먹을 수 있는데다 맛있어요. 가격도 부담되지 않구요. 또 한쪽에는 수세미, 샴푸바, 고체치약, 대나무칫솔, 마스크, 양말, 손수건과 같은 제로웨이스트 물건들과 세제를 리필해갈 수 있는 곳이 있어서 구경하는 재미도 있네요! 늘 편하게 잘 쉬다가 가요 ??"
3,가벼운 오늘,네이버맵,삽살개73,2022-01-05,"청리단길 구경하다 알게 된 곳인데 드디어 다녀왔네요! 비건 음료랑 디저트 파는 곳 진짜 너무 소중해요 ㅠㅠㅠㅠ 사장님 저희 동네에도 제발좀 하나 열어 주시면 안될까용,,,,, 쏘원츄?? 다들 아직 안 가셨어요??? 웨?????"
3,가벼운 오늘,네이버맵,비건케이크,2022-07-02,"호지차 두유라떼 꼭 드셔보세요....... 진짜 감동의 맛....... 제로웨이스트샵, 리필 스테이션도 있고, 정말 너무 따뜻한 최애 공간입니다??????????"
3,가벼운 오늘,네이버맵,비건케이크,2022-08-02,무화과스콘이랑 얼그레이마들렌 :) 무화과 짱 맛있어요. 물도 맛있어요. 그냥 다 맛있어요…….! 충전기 있어서 공부가능해요 -
3,가벼운 오늘,네이버맵,비건케이크,2022-08-02,호지차라떼 아이스도 너무 맛있어요…..ㅠㅠㅠㅠ 레몬디저트도 제가 먹어본 것 중에 제일 맛있습니다????
3,가벼운 오늘,네이버맵,베베찐빵,2022-04-07,친환경 제품들을 판매하는 제로웨이스트샵 비건 음료 및 디저트를 판매하는 비건 카페 다녀오면 마음이 풍족해지는가게입니다~♡ 음료와 디저트는 맛도 좋고 가격도 저렴해요! 사장님 덕분에 도전하기 쉬운 친환경 제품들로 시작해서 제로웨이스트라이프 실천하고 있어요^^
3,가벼운 오늘,네이버맵,반사38,2021-12-09,죤맛탱 겨울엔 역시 에이드
3,가벼운 오늘,네이버맵,반사38,2022-06-17,"말모말모! 저의 최애비건 카페,,! 사장님 죠아요??"
3,가벼운 오늘,네이버맵,바다가된다26,2022-05-26,비건베이커리와 제로웨이스트샵 좋아요~♡
3,가벼운 오늘,네이버맵,눈송이16,2022-04-21,비건카페라 디저트도 걱정없이 먹을수 있고 친환경 제품도 파셔서 소소하게 구경할것도 많고 텀블러 들고오면 음료 할인도 해주세요! 친절하시고 너무 좋아요??
3,가벼운 오늘,네이버맵,갸갸갸99,2022-04-30,부평에 비건카페가 생겨서 너무너무 좋아요.. 디저트도 슴슴하고 재료 맛이 잘 느껴져서 너무너무 조아요..?? 자주 올게요!
